unnamed:_0,customerid,gender,location,tenure_months,transaction_id,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,gst,date,offline_spend,online_spend,month,coupon_code,discount_pct,payment_status,delivery_days,customer_rating,return_status,customer_city,discount_percent,order_priority,support_calls,membership,price_after_discount
10,17850.0,M,Chicago,12.0,16713.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,,2.0,3.0,Unknown, Chennai ,15.0,Medium,1.0,Unknown,104.35449999999999
11,17850.0,M,Chicago,12.0,16719.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,pending,2.0,4.0,Unknown,Delhi,25.0,High,0.0,Gold,115.2825
12,17850.0,M,Chicago,12.0,16720.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NO_COUPON,10.0, paid ,7.0,3.0,Returned, Chennai ,15.0,Medium,2.0,Unknown,130.6535
13,17850.0,M,Chicago,12.0,16720.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,paid,2.0,3.175792699173994, returned ,Mumbai,5.0, high ,1.0,Gold,116.63149999999999
14,17850.0,M,Chicago,12.0,16721.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,pending,3.0,3.0,Returned,Chennai,15.0,High,1.0,Silver,130.6535
15,17850.0,M,Chicago,12.0,16722.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,paid,7.0,3.175792699173994,Unknown,Chennai,20.0,Low,2.0,Silver,122.96800000000002
16,17850.0,M,Chicago,12.0,16722.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0, paid ,2.0,2.0,Returned,Delhi,15.0,Unknown,2.0,Gold,104.35449999999999
17,17850.0,M,Chicago,12.0,16723.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,paid,3.0,3.0, returned ,Delhi,10.0,Unknown,0.0,Silver,110.493
18,17850.0,M,Chicago,12.0,16723.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,,3.0,4.0,Unknown,Delhi,25.0,High,2.0, gold ,92.0775
19,17850.0,M,Chicago,12.0,16724.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,failed,3.0,5.0,Unknown,Unknown,5.0,High,3.0,Gold,116.63149999999999
20,17850.0,M,Chicago,12.0,16725.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,paid,5.0,4.0,Unknown,Unknown,15.0, high ,0.0,Platinum,104.35449999999999
21,17850.0,M,Chicago,12.0,16727.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,,3.0,3.175792699173994,Not Returned,Unknown,10.0,Unknown,2.0, gold ,110.493
22,17850.0,M,Chicago,12.0,16731.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,failed,2.0,3.0,Unknown,Unknown,25.0,Unknown,4.0,Unknown,92.0775
23,13047.0,M,California,43.0,16684.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO_COUPON,10.0,paid,3.0,5.0,Not Returned,Unknown,5.0,Medium,2.0,Gold,116.63149999999999
24,13047.0,M,California,43.0,16684.0,2019-01-01,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,81.5,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,failed,7.0,2.0,Returned,Delhi,5.0,Low,3.0,Platinum,77.425
25,13047.0,M,California,43.0,16688.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0, paid ,3.0,4.0,Returned,Unknown,5.0, high ,2.0,Unknown,116.63149999999999
26,13047.0,M,California,43.0,16689.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,pending,7.0,4.0, returned ,Unknown,5.0, high ,3.0,Unknown,146.0245
27,12583.0,M,Chicago,33.0,16694.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,paid,3.0,3.0,Unknown,Mumbai,20.0,Low,1.0,Unknown,98.21600000000001
28,15100.0,M,California,49.0,16712.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO_COUPON,10.0,,7.0,3.0,Not Returned,Unknown,25.0,High,1.0,Gold,115.2825
29,14688.0,F,New York,46.0,16732.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,pending,3.0,1.0, returned ,Chennai,15.0, high ,2.0,Gold,130.6535
30,14688.0,F,New York,46.0,16733.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,failed,3.0,2.0, returned , Chennai ,15.0,High,1.0,Silver,104.35449999999999
31,14688.0,F,New York,46.0,16736.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,,2.0,4.0,Unknown,Delhi,25.0,Unknown,0.0,Platinum,115.2825
32,17850.0,M,Chicago,12.0,16879.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,,5.0,1.0,Not Returned,Delhi,10.0,Medium,4.0,Gold,138.339
33,17850.0,M,Chicago,12.0,16880.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,,5.0,1.0,Unknown,Unknown,5.0,High,1.0, gold ,116.63149999999999
34,17850.0,M,Chicago,12.0,16881.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,failed,5.0,2.0,Returned,Unknown,10.0,High,1.0,Silver,138.339
35,17850.0,M,Chicago,12.0,16882.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,pending,3.0,4.0, returned , Chennai ,10.0,Low,2.0,Unknown,138.339
36,17850.0,M,Chicago,12.0,16883.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,,5.0,3.0,Unknown,Unknown,25.0,Medium,2.0, gold ,115.2825
37,17850.0,M,Chicago,12.0,16886.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,,3.0,3.175792699173994,Unknown,Unknown,15.0,Unknown,2.0,Unknown,104.35449999999999
38,12431.0,F,New Jersey,14.0,16819.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0,pending,3.0,4.0,Returned,Chennai,15.0,Unknown,2.0,Gold,130.6535
39,12431.0,F,New Jersey,14.0,16819.0,2019-01-03,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,,3.0,2.0,Unknown,Unknown,15.0,Unknown,2.0,Unknown,69.27499999999999
40,12431.0,F,New Jersey,14.0,16822.0,2019-01-03,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3.0,102.13,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,pending,1.0,4.0,Not Returned,Mumbai,20.0,Low,4.0,Gold,81.70400000000001
41,12431.0,F,New Jersey,14.0,16823.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,pending,3.0,5.0,Unknown,Delhi,15.0,Medium,0.0,Unknown,130.6535
42,12431.0,F,New Jersey,14.0,16825.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,,3.0,3.0, returned ,Unknown,5.0, high ,2.0, gold ,116.63149999999999
43,17511.0,F,Chicago,25.0,16826.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0,failed,2.0,3.175792699173994,Returned,Unknown,10.0,Unknown,3.0,Unknown,138.339
44,17511.0,F,Chicago,25.0,16830.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0, paid ,1.0,3.0, returned ,Unknown,20.0,Unknown,4.0,Platinum,122.96800000000002
45,17511.0,F,Chicago,25.0,16833.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,,3.0,3.175792699173994, returned ,Unknown,15.0,Unknown,4.0,Unknown,130.6535
46,17511.0,F,Chicago,25.0,16835.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0,,2.0,3.0,Not Returned,Chennai,15.0, high ,4.0,Unknown,104.35449999999999
47,17511.0,F,Chicago,25.0,16836.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,paid,7.0,3.175792699173994,Unknown, Chennai ,5.0,Unknown,2.0,Unknown,146.0245
48,17511.0,F,Chicago,25.0,16836.0,2019-01-03,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2.0,81.5,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,failed,3.0,3.175792699173994,Unknown,Chennai,10.0, high ,2.0,Platinum,73.35000000000001
49,17511.0,F,Chicago,25.0,16837.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,,3.0,5.0,Unknown,Chennai,25.0,High,2.0,Unknown,92.0775
50,17511.0,F,Chicago,25.0,16842.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0, paid ,7.0,5.0,Unknown,Unknown,15.0,Low,2.0,Platinum,130.6535
51,17548.0,M,Chicago,50.0,16844.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,paid,3.0,2.0,Not Returned,Chennai,15.0,Unknown,2.0, gold ,104.35449999999999
52,17548.0,M,Chicago,50.0,16846.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,pending,3.0,3.175792699173994,Returned,Unknown,20.0,Unknown,0.0,Unknown,122.96800000000002
53,17548.0,M,Chicago,50.0,16847.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0, paid ,2.0,1.0,Unknown,Delhi,15.0,High,2.0, gold ,104.35449999999999
54,13705.0,F,Chicago,39.0,16849.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0,paid,3.0,3.175792699173994,Returned,Mumbai,10.0,Unknown,0.0,Gold,110.493
55,13705.0,F,Chicago,39.0,16851.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0,paid,3.0,4.0,Unknown, Chennai ,5.0,Unknown,1.0,Gold,146.0245
56,13705.0,F,Chicago,39.0,16853.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,failed,5.0,4.0,Not Returned,Unknown,10.0,Medium,2.0,Unknown,110.493
57,13705.0,F,Chicago,39.0,16854.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,pending,5.0,2.0,Unknown,Unknown,15.0,Unknown,2.0,Silver,130.6535
58,13705.0,F,Chicago,39.0,16856.0,2019-01-03,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,failed,3.0,4.0,Returned,Delhi,15.0,Unknown,2.0,Unknown,69.27499999999999
59,13747.0,F,Chicago,21.0,16857.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO COUPON,10.0,,2.0,5.0,Not Returned,Chennai,20.0, high ,3.0,Unknown,122.96800000000002
60,13408.0,M,Chicago,30.0,16859.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO COUPON,10.0,pending,1.0,3.175792699173994, returned ,Unknown,15.0,High,4.0,Unknown,130.6535
61,13408.0,M,Chicago,30.0,16861.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,,2.0,1.0,Unknown,Mumbai,15.0, high ,2.0,Unknown,104.35449999999999
62,13408.0,M,Chicago,30.0,16863.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NEWUSER,10.0, paid ,3.0,2.0,Unknown,Mumbai,25.0,Unknown,2.0,Platinum,115.2825
63,13408.0,M,Chicago,30.0,16865.0,2019-01-03,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,81.5,35.96,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,paid,3.0,3.175792699173994,Unknown,Unknown,10.0, high ,4.0,Platinum,73.35000000000001
64,13767.0,F,Chicago,29.0,16869.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,paid,3.0,5.0,Unknown,Mumbai,5.0,Unknown,4.0, gold ,146.0245
65,13767.0,F,Chicago,29.0,16869.0,2019-01-03,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2.0,81.5,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,,5.0,2.0,Not Returned,Delhi,15.0,Unknown,2.0,Unknown,69.27499999999999
66,13767.0,F,Chicago,29.0,16870.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,,3.0,1.0,Unknown,Delhi,20.0,Low,4.0, gold ,122.96800000000002
67,13767.0,F,Chicago,29.0,16871.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,,3.0,3.0, returned ,Mumbai,25.0,Unknown,2.0, gold ,115.2825
68,13767.0,F,Chicago,29.0,16872.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,paid,3.0,2.0, returned ,Delhi,25.0,Medium,4.0,Unknown,115.2825
69,13767.0,F,Chicago,29.0,16874.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0,paid,7.0,1.0,Returned,Chennai,10.0,High,2.0,Platinum,110.493
70,13767.0,F,Chicago,29.0,16875.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0, paid ,7.0,1.0,Not Returned,Mumbai,10.0,Medium,2.0,Unknown,138.339
71,13767.0,F,Chicago,29.0,16876.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NO COUPON,10.0,,3.0,3.175792699173994,Not Returned,Unknown,20.0,Medium,3.0,Gold,122.96800000000002
72,17924.0,M,New Jersey,26.0,16888.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,1/3/2019,4500.0,1576.38,1,UNKNOWN,10.0, paid ,3.0,4.0,Not Returned,Mumbai,15.0,Unknown,4.0,Silver,130.6535
73,13448.0,F,California,41.0,16890.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,paid,3.0,2.0,Unknown, Chennai ,15.0,Unknown,3.0,Platinum,104.35449999999999
74,13448.0,F,California,41.0,16896.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,,3.0,2.0,Returned, Chennai ,15.0,Unknown,0.0,Silver,104.35449999999999
75,13448.0,F,California,41.0,16897.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0,paid,3.0,4.0,Unknown,Delhi,10.0,Medium,2.0, gold ,138.339
76,15862.0,F,California,24.0,16907.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,,3.0,5.0,Returned,Delhi,15.0,Medium,0.0,Silver,130.6535
77,15862.0,F,California,24.0,16910.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,,3.0,3.175792699173994,Not Returned, Chennai ,15.0,Medium,2.0,Unknown,104.35449999999999
78,15862.0,F,California,24.0,16912.0,2019-01-03,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5.0,81.5,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,SAVE10,10.0, paid ,3.0,3.0,Unknown,Delhi,25.0,Low,1.0,Platinum,61.125
79,15862.0,F,California,24.0,16914.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,NO COUPON,10.0,failed,3.0,3.175792699173994,Unknown,Delhi,15.0,Unknown,2.0, gold ,104.35449999999999
80,15862.0,F,California,24.0,16915.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/3/2019,4500.0,1576.38,1,SALE20,10.0,paid,3.0,1.0,Unknown,Mumbai,25.0,Low,1.0,Silver,92.0775
81,15862.0,F,California,24.0,16916.0,2019-01-03,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2.0,81.5,6.5,Clicked,0.1,1/3/2019,4500.0,1576.38,1,NO_COUPON,10.0,,5.0,4.0,Returned, Chennai ,15.0,High,2.0,Silver,69.27499999999999
